Artist,song_album,Title,song_release_date
Jordan Maxwell,Waiting (feat. Shiloh),Waiting (feat. Shiloh),2018-01-13
XXXTENTACION,17,Jocelyn Flores,2017-08-25
Roderick Porter,Baby,Baby,2019-11-16
Roderick Porter,I Didn't Realize How Empty My Bed Was Until You Left,I Didn't Realize How Empty My Bed Was Until You Left,2018-10-27
Roderick Porter,Ghost,Ghost,2019-01-07
Roderick Porter,"Rainy Tapes, Vol. 1",Out of My Mind,2018-08-03
Roderick Porter,"Rainy Tapes, Vol. 1",You,2018-08-03
Joji,BALLADS 1,SLOW DANCING IN THE DARK,2018-10-26
Joji,Gimme Love (Channel Tres Remix),Gimme Love,2020-04-10
Joji,BALLADS 1,YEAH RIGHT,2018-10-26
Joji,Sanctuary,Sanctuary,2019-06-14
Joji,In Tongues (Deluxe),I Don't Wanna Waste My Time,2018-02-14
Joji,BALLADS 1,I'LL SEE YOU IN 40,2018-10-26
Joji,BALLADS 1,TEST DRIVE,2018-10-26
Joji,BALLADS 1,ATTENTION,2018-10-26
Joji,BALLADS 1,R.I.P. (feat. Trippie Redd),2018-10-26
zack villere,Little World,Bloo,2017-06-16
XXXTENTACION,?,the remedy for a broken heart (why am I so in love),2018-03-16
Floreyyyy,Intimacy,Novocaine (feat. Shiloh),2018-01-05
Peachy!,$orries,$orries,2018-04-10
Idealism,rainy evening,controlla,2017-08-30
Timmies,Passion & Confusion,I Dont Wanna Know Her,2017-09-21
Kuzu Mellow,Sunflower Feelings,Sunflower Feelings,2017-05-17
Burbank,"Sorry, I Like You","Sorry, I Like You",2017-08-08
BØJET,Sleepwalk,Holding Hands with You,2017-09-03
Various Artists,Chillhop Raw Cuts,Lonely,2017-02-13
Wun Two,Penthouse,Again,2014-12-19
Mishaal,Kid Goku,Kid Goku,2018-03-22
Sarcastic Sounds,Dead Dreams,Dead Dreams,2018-02-10
love-sadKID,Stalemate,Stalemate,2017-08-04
love-sadKID,That Girl,That Girl,2017-04-29
love-sadKID,Something More,Something More,2017-05-12
love-sadKID,Growth,Habits,2020-04-10
Sadlxne,Warm Nights,Warm Nights,2020-06-05
James Otha,Lotus Flower Remastered,Lotus Flower Remastered,2018-01-25
Lil Peep,Star Shopping,Star Shopping,2019-04-19
Lonely$adboy,This Is a Love Song Not a Sad Song,This Is a Love Song Not a Sad Song,2018-12-07
lonelyrari,Brokegirl,Brokegirl,2019-08-27
lonelyrari,KEEP MY POLO TUCKED <33,KEEP MY POLO TUCKED <33,2019-06-11
Post Malone,beerbongs & bentleys,Stay,2018-04-27
Steve Lacy,C U Girl,C U Girl,2015-02-15
UMI,Remember Me,Remember Me,2018-10-08
Rex Orange County,Edition,Edition,2017-09-12
Usher,My Way,Nice & Slow,1997-09-16
Nelly,6 Pack (Explicit Version),Dilemma,2010-10-12
Nelly,5.0,Just A Dream,2010-11-12
JAY-Z,Empire State Of Mind [Jay-Z + Alicia Keys] (International),Empire State Of Mind [Jay-Z + Alicia Keys],2009-10-20
Nelly,Nellyville,Dilemma,2002-06-25
Nelly,Country Grammar,Ride Wit Me,2000-06-27
TLC,Fanmail,No Scrubs,1999-02-23
Snoop Dogg,Paid Tha Cost To Be Da Bo$$,Beautiful,2002-01-01
Diddy,No Way Out (2014 Remaster),I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,1997
The Game,The Documentary,How We Do,2005
D12,D-12 World,My Band,2004-01-01
Black Eyed Peas,Monkey Business,My Humps,2005-01-01
Dr. Dre,2001 (Explicit Version),Forgot About Dre,1999-11-16
Various Artists,"Def Jam 25, Vol. 25 - Classics (Explicit Version)",Hard Knock Life (Ghetto Anthem),2009-01-01
Akon,Freedom (Int'l Version 2),Right Now (Na Na Na),2008
Keith Sweat,Keith Sweat,Twisted,1996
J. Holiday,Back Of My Lac',Suffocate - Superclean,2007-01-01
Ne-Yo,Libra Scale,One In A Million,2010-01-01
Jason Derulo,Tattoos,Marry Me,2013-09-10
Wyclef Jean,Masquerade,Two Wrongs,2002
Frankie J,The One,Obsesion (No Es Amor) (feat. Baby Bash),2003
Tyrese,I Wanna Go There,How You Gonna Act Like That,2002-12-01
Timbaland,Shock Value,Apologize,2007-01-01
Boyz II Men,II,On Bended Knee,1994-08-30
Jeremih,All About You,Love Don't Change,2010-01-01
Fergie,The Dutchess,Big Girls Don't Cry (Personal),2006-01-01
50 Cent,Best Of 50 Cent,Best Friend - Remix,2017-03-31
Nelly,Suit,Over And Over,2004-09-14
Bow Wow,The Price Of Fame,Outta My System,2006-12-18
Busta Rhymes,It Ain't Safe No More,I Know What You Want,2002-11-05
Bobby V.,Disturbing Tha Peace Presents Bobby Valentino,"Slow Down - 12"" Version",2005-01-01
Craig David,Born to Do It,Walking Away,2001-03-03
Tamia,More,Officially Missing You,2004-04-05
Bow Wow,Aint Thinkin' Bout You,Ain't Thinkin' 'Bout You,2010-01-01
Ne-Yo,Because Of You,Go On Girl,2007-01-01
Frankie J,The One,Don't Wanna Try,2003
Ne-Yo,So Sick,So Sick - Acoustic,2006-01-01
Diddy,Forever,Satisfy You,1999-08-24
Boyz II Men,II,I'll Make Love To You,1994-08-30
Nelly,Suit,My Place,2004-09-14
Ashanti,Ashanti,Happy,2002-01-01
NB Ridaz,NB Ridaz.com,Pretty Girl,2004
Trey Songz,Ready,I Need a Girl,2009-08-31
Various Artists,R&B Hits,I Need a Girl (Pt. 1) [feat. Usher & Loon],2005-10-04
Bow Wow,Wanted,Like You (feat. Ciara),2005
Usher,Confessions (Expanded Edition),Burn,2004-03-23
Mario,D.N.A.,I Choose You,2009-10-08
Chris Brown,Indigo,No Guidance (feat. Drake),2019-06-28
K-Ci & JoJo,Love Always,All My Life,1997-01-01
Akon,Konvicted,I Wanna Love You,2006
Joe,My Name Is Joe,I Wanna Know,2000-04-18
J. Holiday,Back Of My Lac',Bed,2007-01-01
Ne-Yo,Because Of You,Because Of You,2007-01-01
Mario,Go,How Do I Breathe,2007-12-11
Usher,Confessions (Expanded Edition),Confessions Part II,2004-03-23
Trey Songz,Trey Day,Can't Help but Wait,2007-10-01
Chris Brown,Chris Brown (Expanded Edition),Yo (Excuse Me Miss),2005
Lloyd,Street Love,You,2007-01-01
Bow Wow,Wanted,Let Me Hold You (feat. Omarion),2005
Ne-Yo,In My Own Words,Sexy Love,2006-01-01
Chingy,Hoodstar (Deluxe Edition),Pullin' Me Back,2006-01-01
Powfu,death bed (coffee for your head),death bed (coffee for your head),2020-02-08
Manuel Turizo,Quiéreme Mientras Se Pueda,Quiéreme Mientras Se Pueda,2020-05-01
Donell Jones,Where I Wanna Be,Shorty (Got Her Eyes on Me),1999-05-29
Jaheim,Still Ghetto,Put That Woman First,2002-11-05
Tyrese,2000 Watts,What Am I Gonna Do,2001-10-29
Tank,SAVAGE,When We,2017-09-29
Tank,Now or Never,I Can't Make You Love Me,2010-12-13
Daniel Caesar,CASE STUDY 01,LOVE AGAIN,2019-06-28
Tamia,Between Friends,Almost,2006
Tyrese,I Wanna Go There,Signs of Love Makin',2002-12-01
Anthony Hamilton,Comin' From Where I'm From,Charlene,2003-07-15
Maxwell,BLACKsummers'night (2009),Pretty Wings - uncut,2009-07-07
Jacob Banks,The Monologue,Dear Simone,2013-04-26
Jacob Banks,Unknown (To You) [Timbaland Remix],Unknown (To You) - Timbaland Remix,2017-10-20
Various Artists,Step Up Soundtrack,'Bout It (feat. 3LW),2006-08-08
Various Artists,Step Up Soundtrack,Get Up (feat. Chamillionaire),2006-08-08
Flo Rida,Only One Flo (Part 1),Who Dat Girl (feat. Akon),2010-11-24
Nelly,Country Grammar,Country Grammar (Hot Shit),2000-06-27
Baby Bash,Tha Smokin' Nephew,Suga Suga,2003-01-01
Blaque,I'm Good,I'm Good - Radio Version,2003-09-02
Various Artists,R&B Party,It's a Party,2018-03-19
Sean Paul,The Trinity,Temperature,2005-09-26
Sean Paul,Dutty Rock,Gimme the Light,2002-11-12
Various Artists,Step Up Soundtrack,U Must Be,2006-08-08
Brandy,Afrodisiac,Who Is She 2 U - Recall Version,2004
Ciara,Goodies,"One, Two Step (feat. Missy Elliott)",2004-09-27
Usher,Confessions (Expanded Edition),Caught Up,2004-03-23
Chris Brown,Chris Brown (Expanded Edition),Run It! (feat. Juelz Santana),2005
Busta Rhymes,The Big Bang,Get Down,2006-01-01
Pitbull,Original Hits,Midnight,2012-05-08
T-Pain,Epiphany,Church - Main Version - Explicit,2007-06-05
Cherish,The Truth,Killa,2008-01-01
Kevin Michael,Kevin Michael,We All Want the Same Thing (feat. Lupe Fiasco & Akil Dasan) - Acoustic Version,2007-09-14
Timbaland,Shock Value,The Way I Are,2007-01-01
Cupid,Time For A Change,369 (feat. B.o.B.),2007-09-11
Various Artists,Total Dance 2008 Vol. 2,Shake Your Pom Pom,2008-01-01
Swizz Beatz,One Man Band Man,Money In The Bank,2007-01-01
Timbaland,Shock Value,Bounce,2007-01-01
Lil Baby,Drip Harder,Close Friends (Lil Baby & Gunna),2018-10-05
YK Osiris,The Golden Child,Worth It,2019-10-11
YNW Melly,772 Love,772 Love,2017-10-16
YNW Melly,I AM YOU,Mama Cry,2018-08-03
Future,Future & Juice WRLD Present... WRLD ON DRUGS,Fine China,2018-10-19
Juice WRLD,Goodbye & Good Riddance,Candles,2018-12-10
Juice WRLD,Goodbye & Good Riddance,Hurt Me,2018-12-10
XXXTENTACION,?,SAD!,2018-03-16
Juice WRLD,Death Race For Love,Robbery,2019-03-08
Various Artists,Turn up da Block Volume 3,Ready to Fuck,2014-11-19
Kirko Bangz,Drank In My Cup,Drank in My Cup,2011-09-16
Kid Ink,My Own Lane (Expanded Edition),Show Me (feat. Chris Brown),2014-01-06
Drake,Take Care (Deluxe),Doing It Wrong,2011-11-15
Drake,Take Care (Deluxe),Marvins Room,2011-11-15
Drake,Thank Me Later,Find Your Love,2010-01-01
Drake,Thank Me Later (Int'l Version),Best I Ever Had,2010-01-01
Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,2018-12-10
Juice WRLD,Death Race For Love,Flaws And Sins,2019-03-08
Juice WRLD,Death Race For Love,Hear Me Calling,2019-03-08
Juice WRLD,Death Race For Love,Who Shot Cupid?,2019-03-08
Juice WRLD,Death Race For Love,Rider,2019-03-08
Juice WRLD,Goodbye & Good Riddance,Long Gone,2018-12-10
Lil Baby,Drip Harder,Drip Too Hard (Lil Baby & Gunna),2018-10-05
Ellie Goulding,Hate Me (with Juice WRLD),Hate Me (with Juice WRLD),2019-06-26
YNW Melly,Medium Fries,Medium Fries,2018-08-23
Sigrid,Sucker Punch,Don't Kill My Vibe,2019-03-08
Josephina,Woosah,Woosah,2017-10-27
Saving Forever,Always in My Mind,Always in My Mind,2018-07-13
Echosmith,Talking Dreams (Deluxe Edition),Nothing's Wrong,2013-10-04
Katy Tiz,Whistle (While You Work It),Whistle (While You Work It),2015-02-10
Grouplove,Big Mess,Welcome to Your Life,2017-08-17
Becky Hill,Unpredictable,Unpredictable,2017-08-09
All Time Low,Last Young Renegade,Good Times,2017-06-02
Bishop Briggs,Bishop Briggs,The Way I Do,2017-04-14
Oh Wonder,Ultralife,Ultralife,2017-07-14
Big Data,2.0,The Business of Emotion (feat. White Sea),2013
Lights,Little Machines,Up We Go,2014-09-19
Paper Route,Real Emotion,Zhivago,2016-09-23
Andrew McMahon in the Wilderness,Zombies On Broadway,Walking In My Sleep,2017-02-10
Middle Kids,Lost Friends,Mistake,2018-05-04
Bishop Briggs,CHAMPION,JEKYLL & HIDE,2019-11-08
Paramore,All We Know Is Falling,Pressure,2005-07-26
fun.,Some Nights,We Are Young (feat. Janelle Monáe),2012-02-21
Gordi,Reservoir,On My Side,2017-08-25
Bow Wow,You Can Get It All,You Can Get It All,2009-02-17
Ja Rule,The Last Temptation,Mesmerize,2002-01-01
Pretty Ricky,Late Night Special,On the Hotline - Amended Version,2007
Usher,I Don't Mind (feat. Juicy J),I Don't Mind (feat. Juicy J),2014-11-21
Mýa,Moodring,My Love Is Like...Wo - Main Mix/Album Version,2003-01-01
Ciara,The Evolution,Promise,2006
Pleasure P,The Introduction of Marcus Cooper,Boyfriend #2,2009-06-05
Various Artists,Mr Loverman,Into You,2018-06-27
The-Dream,Lovehate,I Luv Your Girl,2007-01-01
Pretty Ricky,Bluestars,Your Body,2005-05-17
The-Dream,Love Vs Money,My Love,2009-01-01
Plies,Definition of Real,"Bust It Baby, Pt. 2 (feat. Ne-Yo)",2008-06-10
Cassie,Cassie (U.S. Version),Me & U,2006-08-07
Various Artists,Total Club Hits 3,Wetter (Calling You Daddy),2009-01-01
Keyshia Cole,Just Like You,Let It Go,2007-01-01
The-Dream,Love Vs Money,Rockin' That Shit,2009-01-01
Kanye West,The College Dropout,Slow Jamz,2004-02-10
Ashanti,Ashanti,Foolish,2002-01-01
Lil Jon & The East Side Boyz,Crunk Juice,Lovers And Friends,2004-11-16
Marc E. Bassy,Gossip Columns,Made Love First,2017-10-13
Khalid,Free Spirit,Talk (feat. Disclosure),2019-04-05
WAV,On the Spot,On the Spot,2018-08-29
Deuce Fantastick,Billion Dollar Dreams Vol.1 the Present,Mind Right,2020-08-01
Matt Simons,We Can Do Better,We Can Do Better,2018-04-04
Cardi B,Please Me,Please Me,2019-02-15
Khalid,Free Spirit,Better,2019-04-05
BROCKHAMPTON,GINGER,SUGAR,2019-08-23
J. Cole,2014 Forest Hills Drive,Wet Dreamz,2014-12-09
LL Cool J,Mr. Smith (Deluxe Edition),Hey Lover,1995-11-20
LL Cool J,Mr. Smith (Deluxe Edition),Doin' It,1995-11-20
Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,SexyBack (feat. Timbaland),2006-09-13
LL Cool J,G. O. A. T. Featuring James T. Smith: The Greatest Of All Time,Imagine That,2000-09-05
Lagum,Deixa (feat. Ana Gabriela),Deixa (feat. Ana Gabriela),2018-02-23
Ari,Ari Acústico,A Droga do Amor,2015-12-09
1Kilo,Deixe Me Ir (Acústico),Deixe Me Ir - Acústico,2017-03-17
UM44K,4 da manhã,4 da manhã,2017-04-28
Modéstia Parte,Te Encontrar,Te Encontrar,2015-06-12
3030,Foda Que Ela É Linda,Foda Que Ela É Linda,2014-07-10
Oriente,Oriente (Acústico),"Linda, Louca e Mimada - Acústico",2014-07-25
Rael,Diversoficando,Envolvidão,2014-12-08
Ari,Ari Acústico,Quem Me Dera Eu Te Encontrar,2015-12-09
Oriente,Desorientado,O Vagabundo e a Dama,2011-12-12
Rashid,Crise,Bilhete 2.0,2018-01-19
Rael,Ainda Bem Que Eu Segui as Batidas do Meu Coração,Ela Me Faz,2013-03-05
Liniker e os Caramelows,Cru,Zero,2015-07-30
3030,Quinta Dimensão,Tudo Que Ela Quer,2012-12-21
3030,Bom Dia (Acústico),Bom Dia - Acústico,2014-05-31
Projota,3Fs (Ao Vivo),Muleque De Vila - Ao Vivo,2016-05-27
Hungria Hip Hop,Dubai,Dubai,2016-04-15
Flora Matos,Flora Matos Vs. Stereodubs,"Pretin (Verão, Pt. 1)",2014-04-01
Rael,Mp3: Música Popular do Terceiro Mundo,Vejo Depois,2010-08-01
Emicida,O Glorioso Retorno de Quem Nunca Esteve Aqui,Hoje Cedo,2013
Rael,Diversoficando,Ser Feliz,2014-12-08
Luccas Carlos,Sem Ninguém,Sem Ninguém,2017-10-13
Criolo,Nó na Orelha,Não Existe Amor em SP,2011-04-25
Criolo,Nó na Orelha,Subirusdoistiozin,2011-04-25
Emicida,O Glorioso Retorno de Quem Nunca Esteve Aqui,Levanta e Anda,2013
Various Artists,Poesia Acústica #3: Capricorniana,Poesia Acústica #3: Capricorniana,2017-11-04
Haikaiss,"Fotografia de um Instante, Vol. 1 & 2",Relaxa!,2014-12-15
1Kilo,Tenta Vir (Acústico),Tenta Vir - Acústico,2017-04-15
Oriente,Oriente (Acústico),Vagabundo Também Ama / Vida Longa Mundo Pequeno - Acústico,2014-07-25
3030,Quinta Dimensão,Mundo de Ilusões 2012,2012-12-21
Knowmadic,Faces,Faces,2019-01-07
SwuM,O R B I T,Don't know why,2019-01-21
Arbour,Interstellar,Interstellar,2019-01-14
Various Artists,Chillhop Essentials Winter 2018,Fall's Echoes,2018-12-12
mommy,Inaudible,thinking of you,2018-11-21
Tesk,Hideout,Hideout,2018-11-12
Various Artists,Chillhop Essentials Winter 2018,larkspur,2018-12-12
SwuM,O R B I T,The Dream,2019-01-21
C Y G N,BODY N SOUL,Mindfulness,2018-11-07
Various Artists,Chillhop Essentials Winter 2018,Crossroads,2018-12-12
Nokiaa,All Us,All Us,2018-12-24
Herring Franky,The Flip & Dip Sessions,Turn Me On,2017-11-07
Toonorth,Melancholy,Mabey,2016-11-25
Various Artists,Summer Breeze,Sleep by the Waves,2018-09-21
ocha,Love Story,icy.tears,2019-01-17
Smoke Trees,Steamer,Liquordelic,2018-04-25
ocha,Love Story,iridscnt,2019-01-17
Vhsceral,Devlop,Baroke,2017-10-13
Various Artists,Chillhop Essentials Winter 2016,Patience,2016-12-19
Emapea,Random Beats,Summerize,2018-07-04
Vhsceral,Some Year,Swing Moods,2018-08-20
illiterate,YGCBEATS002 : illiterate,Descending,2018-08-08
Silo,Neon Dream - EP,Neon Dream,2018-12-28
Pandrezz,Belleville,Orion,2019-01-24
Harris Cole,Rosewood,Rosewood,2018-11-26
Various Artists,Chillhop Essentials Winter 2018,blankets,2018-12-12
Flovry,Home,Home,2018-09-06
Delayde,Old Hours,Downtime,2018-12-03
Dontcry,Daily Operation,Belly,2019-01-08
SwuM,O R B I T,Stay.,2019-01-21
Dwyer,Night Swim,Pictochat,2017-06-18
Dramadigs,Bei aller Liebe,Fall in Love (Skit),2014-04-18
Various Artists,Chillhop Essentials Winter 2018,Potion,2018-12-12
Masked Man,that neo soul,that neo soul,2019-01-04
Idealism,hiraeth ep,phosphenes,2017-11-08
Kankick,Acid Massive Musical,Citywalk: Broad's Groove,2013-09-17
Plusma,Crony,W∆itin4y0u,2016-12-23
JuSoul,February,Thank You (Tribute to Jay),2017-02-07
Sleepy Fish,bed / moon,moonsong,2019-01-11
Plusma,Gamma,ss℮,2016-12-23
Dontcry,Tok Baby Snare,Coke Bakken,2018-03-31
In Love With a Ghost,gay story,something easy,2018-04-15
HM Surf,Mulberry Daze,Trembling Close to You,2019-01-10
SPEECHLESS,Freedom of SPEECH,Winter Breeze,2019-01-04
Sleepy Fish,bed / moon,passersby,2019-01-11
Gonza,Extras,Smoovtip,2018-12-28
emune,Balance,Tulips,2017-05-08
goosetaf,Sugar,Dippin' Dots,2019-01-03
Various Artists,Chillhop Essentials Winter 2018,Viaduct,2018-12-12
Gonza,Extras,Soultra,2018-12-28
Seneca B,Sunshine,Sunshine,2018-04-30
emune,Sorry,Brown Eyes,2017-10-22
digitalluc,re:ups,003,2018-01-29
Various Artists,Chillhop Daydreams,Perspective,2018-08-08
Various Artists,Chillhop Essentials Spring 2018,Swix,2018-03-21
invention_,lunarize,lunarize,2018-12-23
Hanz,I'll Be Okay,I'll Be Okay,2017-10-02
Various Artists,Chillhop Essentials Winter 2018,Mila Coolness,2018-12-12
jrd.,Reflections,Slowly,2018-06-02
BIDØ,last light,last light,2018-07-15
jrd.,Reflections,Embed,2018-06-02
illiterate,winter_bumps 002,chestnut,2018-12-26
Keem the Cipher,(Cosmos EP.),Blossom.,2017-04-10
Clap Cotton,Minors,Minors,2018-02-20
Vhsceral,Some Year,Typo,2018-08-20
Various Artists,Chillhop Daydreams,Coupe_90,2018-08-08
Cloudchord,Koi Pond,Stay Puff,2018-07-11
Leavv,essence,park walk,2017-12-31
Delayde,finding solitude,speaking with trees,2018-11-20
Masked Man,Coo Lullaby,Coo Lullaby,2018-08-20
Smuv,Sofa,A Pasito,2018-12-20
Sleepdealer,B-Sides,Like Silk,2018-05-17
Omaure,Sexy Galaxy,The World Is Yours,2017-03-09
Otesla,Instrumentals One,Space Invasionxfam,2017-08-25
Fujitsu,corals 2,hills and horizons,2018-09-21
Complex Channel Records,Complex Channel Collective Tapes Vol. 3,Marbles,2018-02-02
Shy Cope,Drive Home,Drive Home,2018-06-04
Sup Nasa,J Dilla Ruined My Life,February,2018-02-28
less.people,Let's go extinct,Look what you've done (Old Playa reprise),2018-05-14
Phlocalyst,Serendipity,Hier encore,2018-05-28
fantompower,Summertime and the Living's Easier.,We Are Safe Here.,2017-07-27
mommy,Inaudible,everything you say,2018-11-21
Various Artists,Chillhop Essentials Winter 2018,I need to paint my walls,2018-12-12
Nymano,Hometown,Evening Routine,2018-10-17
Various Artists,Chillhop Essentials Winter 2018,Winter Lights,2018-12-12
Smeyeul.,Distant Travels,Distant Travels,2018-10-29
mommy,Inaudible,throwback port,2018-11-21
Various Artists,Chillhop Essentials Winter 2018,polarbeer,2018-12-12
Delayde,Old Hours,A Million Miles,2018-12-03
Various Artists,Chillhop Essentials Winter 2018,Slopes,2018-12-12
Various Artists,Chillhop Essentials Winter 2018,Embers in the Dark,2018-12-12
dude26,EXPEDITion Vol. 8: Yellow Dolphin,Nehslyg,2016-02-26
Vhsceral,Some Year,Cause,2018-08-20
Dream Easy Collective,Ephemeral,Grassroot Skies,2018-05-22
chief.,chief.,orion,2018-12-07
Flitz&Suppe,Ijin,Mutiny,2018-12-06
Estugarda,Lava,Home,2018-02-02
Various Artists,Chillhop Essentials Fall 2018,mochus,2018-10-03
Toonorth,Silience,Silience,2018-09-17
DLJ,Pure,Pure,2018-09-29
Ellie Goulding,Halcyon Days,How Long Will I Love You - Bonus Track,2014-01-01
Lupe Fiasco,Old School Love (feat. Ed Sheeran),Old School Love (feat. Ed Sheeran),2013-10-15
Kurt Hugo Schneider,Schneider Brother Covers,Breakeven,2013-02-10
Kurt Hugo Schneider,Schneider Brother Covers,So Sick,2013-02-10
Kurt Hugo Schneider,Schneider Brother Covers,Not Over You,2013-02-10
Chris Brown,Chris Brown,Ya Man Ain't Me,2005-11-29
Chris Brown,Chris Brown,Say Goodbye,2005-11-29
Chris Brown,Chris Brown,Yo (Excuse Me Miss),2005-11-29
Chris Brown,Exclusive,With You,2007-11-01
Chris Brown,Graffiti,Crawl,2009-12-08
Chris Brown,Graffiti,I Love U,2009-12-08
Chris Brown,Graffiti,Gotta Be Ur Man,2009-12-08
Various Artists,Total Club Hits Vol. 2,"Bust It Baby, Pt. 2",2009-01-01
Frankie J,The One,How To Deal,2003
Colby O'Donis,Colby O,What You Got - Main,2008-01-01
Mario Vazquez,Mario Vazquez,Gallery,2006-01-15
Mario Vazquez,Mario Vazquez,Everytime I...,2006-01-15
Mario Vazquez,Mario Vazquez,We Gon' Last,2006-01-15
Mario,Go,How Do I Breathe,2007-12-11
Ne-Yo,Year Of The Gentleman (Bonus Track Edition),Mad,2008-01-01
Ne-Yo,Year Of The Gentleman (Bonus Track Edition),Miss Independent,2008-01-01
Ne-Yo,In My Own Words,Let Me Get This Right,2006-01-01
Usher,Here I Stand,"Love in This Club, Pt. II (feat. Beyoncé & Lil' Wayne)",2008-05-27
Luther Vandross,The Ultimate Luther Vandross,Always and Forever,2006-10-23
Lil Crazed,Tick Tock (feat. Andrew Garcia),Tick Tock (feat. Andrew Garcia),2012-09-26
Akon,Konvicted,Don't Matter,2006-01-01
Akon,Trouble,Lonely,2006-01-01
Akon,Freedom,Be With You,2008-01-01
Andrew Garcia,One Way Ticket (Acoustic),One Way Ticket - Acoustic,2015-08-08
Andrew Garcia,Airplanes & Terminals,Airplanes & Terminals,2013-07-22
Jeremy Passion,For More Than a Feeling,Lemonade - Ukulele Version,2011-12-13
Chris Brown,Forever,Forever,2007-11-02
Alicia Keys,The Diary Of Alicia Keys,If I Ain't Got You,2003-12-02
Alicia Keys,As I Am,No One,2007-11-09
Mariah Carey,Daydream,Always Be My Baby,1995-09-26
Paula DeAnda,Paula DeAnda,Walk Away (Remember Me) (feat. The DEY),2006-06-01
Jesse McCartney,Departure - Recharged,Leavin',2008
Alexia,Fan Club,Me And You,1997-06-24
Corona,The Rhythm of the Night,The Rhythm of the Night,1994
Corona,The Rhythm of the Night,Baby Baby,1994
Corona,The Rhythm of the Night,Don't Go Breaking My Heart,1994
Ice Mc,Ice 'n' Green,Think About The Way,1994-01-01
Ice Mc,Ice 'n' Green,It's A Rainy Day,1994-01-01
Double You,The Blue Album,Run To Me,1994-01-01
Talk Talk,It's My Life,It's My Life - 1997 Remaster,1984
Randy Bush,Randy Bush Greatests Hits,Elevation,2016-09-14
Various Artists,"Remember 90's, Vol. 03","Run, Baby Run",2018-02-24
Randy Bush,Randy Bush,Sounds Like a Melody,2015-06-02
a-ha,"East of the Sun, West of the Moon",Crying in the Rain,1990-10-27
Depeche Mode,The Singles 86-98,Strangelove - Single Version,1998-09-23
Eric Carmen,Eric Carmen,All By Myself,1975-01-01
Erasure,Chorus,Love to Hate You,1991-10-14
Randy Bush,Randy Bush Greatests Hits,I Love to Love,2016-09-14
Ice Mc,Ice 'n' Green,Dark Night Rider,1994-01-01
Erasure,The Innocents,A Little Respect - 2009 Remastered Version,1988-04-18
Orchestral Manoeuvres In The Dark,Sugar Tax,Pandora's Box,1991-05-07
Stevie B,Best Of Stevie B,Spring Love,1991-01-01
a-ha,Hunting High and Low,Hunting High and Low,1985-06-01
Various Artists,"Flash Maniac, Vol. 1",Mr. Personality - Club Vocal Mix,2016-12-01
KC & The Sunshine Band,Part 3,"(Shake, Shake, Shake) Shake Your Booty",1976
Eurythmics,Sweet Dreams (Are Made Of This),Sweet Dreams (Are Made of This) - Remastered,1983-01-04
Debbie Gibson,Electric Youth,Lost in Your Eyes,1989-01-10
Spandau Ballet,True - The Digital E.P.,True - Single Edit,2008-04-25
Tina Charles,I Love To Love - The Best Of,I Love to Love,1997-06-06
The Weather Girls,Success,It's Raining Men,1982
Narada Michael Walden,The Nature Of Things,Gimme Gimme Gimme (with Patti Austin),1985
Whitney Houston,Whitney,I Wanna Dance with Somebody (Who Loves Me),1987-06-02
INXS,Kick (Remastered),Never Tear Us Apart,1987
Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),Everybody Wants To Rule The World,1985-02-25
Erasure,Wild! (Deluxe Edition; 2019 - Remaster),Blue Savannah - 2019 - Remaster,1989-10-16
INXS,INXS Remastered,By My Side,2011-01-01
