Artist,Title,Year
Kendrick Lamar , Love,(2017)
2Pac, Temptations, (1995)
Common, The Light, (2000)
Kanye West , Bound 2, (2013)
Ma$e , What You Want, (1998)
Drake, Best I Ever Had, (2009)
De La Soul, Eye Know, (1989)
Noname , Montego Bae, (2018)
Fabolous , Make Me Better, (2007)
Pete Rock & CL Smooth , Searching, (1995)
Future, Incredible, (2017)
Mac Miller, ROS, (2015)
Poor Righteous Teachers, Shakiyla (JRH), (1990)
Tyler the Creator , See You Again, (2017)
Black Star, Brown Skin Lady, (1998)
Slick Rick, Teenage Love, (1988)
Goodie Mob, Beautiful Skin, (1998)
Nicki Minaj, Super Bass, (2010)
DMX, How's It Goin' Down, (1998)
Ja Rule , Put It On Me, (2000)
Boogiemonsters, Honeydips in Gotham, (1994)
Lil Wayne, Receipt, (2005)
UGK, Use Me Up, (1992)
Snoop Dogg , Beautiful, (2003)
Eric B. & Rakim, Mahogany, (1991)
50 Cent , 21 Questions, (2003)
Method Man , I'll Be There for You, (1995)
The Notorious B.I.G, Me & My Bitch, (1994)
The Roots , You Got Me, (1999)
LL Cool J, I Need Love, (1987)
Lost Boyz, Renee, (1996)
Chance the Rapper, Interlude (That's Love), (2013)
A Tribe Called Quest, Bonita Applebum, (1990)
The Pharcyde, Passin' Me By, (1993)